area,perimeter,compactness,length,width,asymmetry,groove_length
15.260,14.840,0.871,5.763,3.312,2.221,5.220
14.880,14.570,0.881,5.554,3.333,1.018,4.956
14.290,14.090,0.905,5.291,3.337,2.699,4.825
13.840,13.940,0.895,5.324,3.379,2.259,4.805
16.140,14.990,0.903,5.658,3.562,1.355,5.175
14.380,14.210,0.895,5.386,3.312,2.462,4.956
14.690,14.490,0.880,5.563,3.259,3.586,5.219
14.110,14.100,0.891,5.420,3.302,2.700,5.000
16.630,15.460,0.875,6.053,3.465,2.040,5.877
16.440,15.250,0.888,5.884,3.505,1.969,5.533
15.260,14.850,0.870,5.714,3.242,4.543,5.314
14.030,14.160,0.880,5.438,3.201,1.717,5.001
13.890,14.020,0.888,5.439,3.199,3.986,4.738
13.780,14.060,0.876,5.479,3.156,3.136,4.872
13.740,14.050,0.874,5.482,3.114,2.932,4.825
14.590,14.280,0.899,5.351,3.333,4.185,4.781
13.990,13.830,0.918,5.119,3.383,5.234,4.781
15.690,14.750,0.906,5.527,3.514,1.599,5.046
14.700,14.210,0.915,5.205,3.466,1.767,4.649
12.720,13.570,0.869,5.226,3.049,4.102,4.914
14.160,14.400,0.858,5.658,3.129,3.072,5.176
14.110,14.260,0.872,5.520,3.168,2.688,5.219
15.880,14.900,0.899,5.618,3.507,0.765,5.091
12.080,13.230,0.866,5.099,2.936,1.415,4.961
15.010,14.760,0.866,5.789,3.245,1.791,5.001
16.190,15.160,0.885,5.833,3.421,0.903,5.307
13.020,13.760,0.864,5.395,3.026,3.373,4.825
12.740,13.670,0.856,5.395,2.956,2.504,4.869
14.110,14.180,0.882,5.541,3.221,2.754,5.038
13.450,14.020,0.860,5.516,3.065,3.531,5.097
13.160,13.820,0.866,5.454,2.975,0.855,5.056
15.490,14.940,0.872,5.757,3.371,3.412,5.228
14.090,14.410,0.853,5.717,3.186,3.920,5.299
13.940,14.170,0.873,5.585,3.150,2.124,5.012
15.050,14.680,0.878,5.712,3.328,2.129,5.360
16.120,15.000,0.900,5.709,3.485,2.270,5.443
16.200,15.270,0.873,5.826,3.464,2.823,5.527
17.080,15.380,0.908,5.832,3.683,2.956,5.484
